"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C9";"CP_Elec_6.3x7.7";2;"220uF";;;
2;"D1";"LED_D3.0mm";1;"LPWR";;;
3;"J4";"Audio Jack 3.5 PCB";1;"Audio_OUT";;;
4;"VOL1,BUZZ1";"Potentiometer_Piher_PT-6-V_Vertical";2;"10K";;;
5;"SW2";"SW_PUSH_6mm";1;"UP";;;
6;"SW3";"SW_PUSH_6mm";1;"DOWN";;;
7;"SW4";"SW_PUSH_6mm";1;"PLAY/PAUSE";;;
8;"SW5";"SW_PUSH_6mm";1;"STOP";;;
9;"SW6";"SW_PUSH_6mm";1;"MENU";;;
10;"SW7";"SW_PUSH_6mm";1;"RST_A5";;;
11;"SW1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"RST_A5";;;
12;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
13;"SW9";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"BUZZER";;;
14;"SW8";"SW_CK_JS202011AQN_DPDT_Angled";1;"AMPONOFF";;;
15;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"LCDOLED";;;
16;"D2";"LED_D3.0mm";1;"LAMP";;;
17;"D3";"LED_D3.0mm";1;"LBUZZ";;;
18;"U1";"Arduino_Mega2560Pro_Embed";1;"Arduino_Mega2560Pro_Embed";;;
19;"H1,H2,H3,H4";"MountingHole_2.7mm_M2.5_Pad";4;"MHole";;;
20;"U5";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"microSD";;;
21;"J1";"BarrelJack_Horizontal";1;"DCDC_PWR";;;
22;"C10,C6";"CP_Elec_4x4.5";2;"10uF";;;
23;"J3";"SAMESKY_MJ1-2503A";1;"REM";;;
24;"D4";"LED_D3.0mm";1;"LDATA";;;
25;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"L+R";;;
26;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
27;"U3,U4";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM386";;;
28;"C7,C1,C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
29;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"380R";;;
30;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXB0104DR";;;
31;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100R";;;
32;"C11,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"47nF";;;
33;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10R";;;
